"cluster","GO_ID","overlap","query_size","term_size","background_size","p_value","p_adj","GO_term","minus_log10_p"
"C6","GO:0006839",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0006839",0.692729756371
"C6","GO:0009102",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0009102",0.692729756371
"C6","GO:0009306",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0009306",0.692729756371
"C6","GO:0009395",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0009395",0.692729756371
"C6","GO:0009744",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0009744",0.692729756371
"C6","GO:0009846",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0009846",0.692729756371
"C6","GO:0010142",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0010142",0.692729756371
"C6","GO:0015713",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0015713",0.692729756371
"C6","GO:0019243",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0019243",0.692729756371
"C6","GO:0019288",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0019288",0.692729756371
"C6","GO:0019632",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0019632",0.692729756371
"C6","GO:0019752",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0019752",0.692729756371
"C6","GO:0046417",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0046417",0.692729756371
"C6","GO:0048527",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0048527",0.692729756371
"C6","GO:0071902",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0071902",0.692729756371
"C6","GO:0090114",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0090114",0.692729756371
"C6","GO:1902389",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:1902389",0.692729756371
"C6","GO:0043328",2,768,16,13936,0.219454960714718,0.37974314280537,"GO:0043328",0.658654597609264
"C6","GO:0007030",2,768,17,13936,0.24022805160571,0.388985263219951,"GO:0007030",0.619376281086935
"C6","GO:0061025",2,768,17,13936,0.24022805160571,0.388985263219951,"GO:0061025",0.619376281086935
"C6","GO:0005985",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0005985",0.607593538744634
"C6","GO:0006121",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0006121",0.607593538744634
"C6","GO:0006751",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0006751",0.607593538744634
"C6","GO:0008285",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0008285",0.607593538744634
"C6","GO:0010190",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0010190",0.607593538744634
"C6","GO:0010196",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0010196",0.607593538744634
"C6","GO:0010207",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0010207",0.607593538744634
"C6","GO:0010344",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0010344",0.607593538744634
"C6","GO:0010497",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0010497",0.607593538744634
"C6","GO:0015936",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0015936",0.607593538744634
"C6","GO:0019318",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0019318",0.607593538744634
"C6","GO:0034605",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0034605",0.607593538744634
"C6","GO:0045048",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0045048",0.607593538744634
"C6","GO:0045490",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0045490",0.607593538744634
"C6","GO:0072334",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0072334",0.607593538744634
"C6","GO:0090522",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:0090522",0.607593538744634
"C6","GO:1990547",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:1990547",0.607593538744634
"C6","GO:2000762",1,768,5,13936,0.246834841250054,0.388985263219951,"GO:2000762",0.607593538744634
"C6","GO:0006865",3,768,32,13936,0.257637517442367,0.404204638476247,"GO:0006865",0.588990894294405
